date,CN consumption,CN GFCF,CN export cont
2009-03-01,4.3,,
2009-06-01,3.8,,
2009-09-01,4,,
2009-12-01,5.22935069,85.95772887,-42.79849729
2010-03-01,7.6,40.2,-3
2010-06-01,5,49.5,5.8
2010-09-01,4.3,50.3,9.6
2010-12-01,4.9,65.17888662,-11.4797679
2011-03-01,6.1,38.5,-0.8
2011-06-01,5.0537,47.3,0.6
2011-09-01,5,46,0.9
2011-12-01,6,45.35317868,-8.18039955
2012-03-01,6.4,30,-8.7
2012-06-01,4.7,51.2,-11.6
2012-09-01,4.2,50.5,-5.5
2012-12-01,4.34922257,41.84771524,1.6688748
2013-03-01,4.3,30.3,14.2
2013-06-01,3.4,53.9,0.9
2013-09-01,3.5,55.8,-1.7
2013-12-01,3.71158773,54.20444575,-2.40688379
2014-03-01,5.5,42.5,-16.4
2014-06-01,4,48.5,-2.9
2014-09-01,3.5843,41.3,10.2
2014-12-01,3.7,47.3,1.7
2015-03-01,4.5,17.4,18.4
2015-06-01,4.1,37.6,4.3
2015-09-01,4,43.4,-1.8
2015-12-01,4.6,36.1,-2.5