date,income tax,corp tax
2005-01-31,19103,7290
2005-02-28,14372,1373
2005-03-31,11483,1289
2005-04-30,9530,6116
2005-05-31,9125,886
2005-06-30,9138,1296
2005-07-31,13352,7456
2005-08-31,11139,1074
2005-09-30,9381,2325
2005-10-31,9615,8438
2005-11-30,9182,1132
2005-12-31,10447,2134
2006-01-31,20419,10961
2006-02-28,15266,1435
2006-03-31,12522,1789
2006-04-30,10256,5830
2006-05-31,9390,1370
2006-06-30,10091,1364
2006-07-31,14933,10101
2006-08-31,11538,1498
2006-09-30,10159,2443
2006-10-31,10015,9974
2006-11-30,9426,1477
2006-12-31,11593,2644
2007-01-31,22675,8603
2007-02-28,17981,1522
2007-03-31,12268,894
2007-04-30,10438,6038
2007-05-31,10474,1135
2007-06-30,10653,1437
2007-07-31,15963,9970
2007-08-31,12040,850
2007-09-30,10857,2411
2007-10-31,10921,9756
2007-11-30,10688,1565
2007-12-31,12129,2448
2008-01-31,25652,10330
2008-02-29,18362,1370
2008-03-31,14183,2121
2008-04-30,10590,6550
2008-05-31,10170,1110
2008-06-30,10755,1514
2008-07-31,16701,10162
2008-08-31,12403,1144
2008-09-30,10917,3140
2008-10-31,10712,9934
2008-11-30,9887,839
2008-12-31,11299,2513
2009-01-31,24448,8041
2009-02-28,17950,1378
2009-03-31,12859,966
2009-04-30,10586,4886
2009-05-31,8990,888
2009-06-30,10584,1331
2009-07-31,15212,6379
2009-08-31,11365,748
2009-09-30,10209,1337
2009-10-31,9969,7388
2009-11-30,9782,1541
2009-12-31,10599,3096
2010-01-31,20294,7476
2010-02-28,17281,1599
2010-03-31,14769,1525
2010-04-30,9985,5344
2010-05-31,10080,930
2010-06-30,10922,1400
2010-07-31,16034,8671
2010-08-31,11965,1238
2010-09-30,10452,2410
2010-10-31,10500,9509
2010-11-30,9838,1505
2010-12-31,11387,2538
2011-01-31,25012,8486
2011-02-28,16859,1334
2011-03-31,13817,1784
2011-04-30,9958,5845
2011-05-31,10804,1304
2011-06-30,11293,885
2011-07-31,16546,8769
2011-08-31,12037,1482
2011-09-30,10054,2470
2011-10-31,10077,8905
2011-11-30,10894,1323
2011-12-31,11719,3049
2012-01-31,25300,9244
2012-02-29,14795,1267
2012-03-31,13566,1261
2012-04-30,10682,5182
2012-05-31,9778,1501
2012-06-30,11021,1328
2012-07-31,16563,7096
2012-08-31,11398,1451
2012-09-30,10353,2436
2012-10-31,10368,8067
2012-11-30,9510,1586
2012-12-31,11944,3040
2013-01-31,26458,8037
2013-02-28,14781,1601
2013-03-31,13366,1521
2013-04-30,12124,4920
2013-05-31,10627,1469
2013-06-30,11277,1477
2013-07-31,16820,7030
2013-08-31,11229,1518
2013-09-30,10716,2620
2013-10-31,10623,7413
2013-11-30,10495,1468
2013-12-31,12181,3306
2014-01-31,25163,7529
2014-02-28,15462,1662
2014-03-31,14813,1691
2014-04-30,11470,5322
2014-05-31,10222,1712
2014-06-30,11248,1724
2014-07-31,17586,6589
2014-08-31,12341,1629
2014-09-30,10964,2366
2014-10-31,11121,7483
2014-11-30,11140,1452
2014-12-31,12626,3564
2015-01-31,28458,8181
2015-02-28,16558,1739
2015-03-31,15447,1789
2015-04-30,11812,6255
2015-05-31,11452,1574
2015-06-30,11592,1784
2015-07-31,18532,6846
2015-08-31,12219,1334
2015-09-30,11308,2597
2015-10-31,11685,7393
2015-11-30,11579,1809
2015-12-31,12572,3631
2016-01-31,30283,7713
2016-02-29,17639,1698