date,UK output per hour whole,UK output per filled job whole
1990-03-01,69,72.3
1990-06-01,69.4,72.3
1990-09-01,69.2,72
1990-12-01,69.8,72.5
1991-03-01,70.4,73
1991-06-01,71.4,73.8
1991-09-01,72.3,74.4
1991-12-01,73,75.1
1992-03-01,73.3,75.2
1992-06-01,73.3,75.8
1992-09-01,74.4,76.7
1992-12-01,75.6,77.6
1993-03-01,76.2,78.1
1993-06-01,76.6,78.5
1993-09-01,77.3,79
1993-12-01,77.8,79.3
1994-03-01,78.1,79.9
1994-06-01,78.8,80.6
1994-09-01,78.9,80.8
1994-12-01,78.8,81.2
1995-03-01,79,81.1
1995-06-01,79,80.9
1995-09-01,79.7,81.3
1995-12-01,79.4,81.1
1996-03-01,80.3,82
1996-06-01,80.3,82.3
1996-09-01,80.6,82.6
1996-12-01,80.7,82.5
1997-03-01,80.8,82.9
1997-06-01,81.1,83.2
1997-09-01,81.4,83.3
1997-12-01,82.3,84.3
1998-03-01,82.6,84.9
1998-06-01,83.2,85.4
1998-09-01,83.4,85.5
1998-12-01,84.7,86.1
1999-03-01,84.7,86.3
1999-06-01,84.8,86.2
1999-09-01,85.9,87.5
1999-12-01,87,88.6
2000-03-01,89.1,89.4
2000-06-01,88.7,89.9
2000-09-01,88.7,89.6
2000-12-01,88.1,89.7
2001-03-01,89.5,90.9
2001-06-01,89.4,90.9
2001-09-01,90.2,91.6
2001-12-01,90.5,91.6
2002-03-01,91,91.9
2002-06-01,92.1,92.1
2002-09-01,92.2,92.8
2002-12-01,92.7,92.9
2003-03-01,93.6,93.9
2003-06-01,94.3,94.5
2003-09-01,95.1,95.2
2003-12-01,96.4,96
2004-03-01,95.9,96
2004-06-01,96.7,96.4
2004-09-01,96.5,96.3
2004-12-01,95.7,96.3
2005-03-01,96.3,96.6
2005-06-01,97.7,97.7
2005-09-01,98.3,98.6
2005-12-01,99.8,100.6
2006-03-01,99.7,100.1
2006-06-01,99.8,99.8
2006-09-01,99.8,99.5
2006-12-01,99.9,100
2007-03-01,100.8,101.1
2007-06-01,101,101.2
2007-09-01,101.5,101.5
2007-12-01,102.2,101.8
2008-03-01,101.3,101.8
2008-06-01,101.8,101
2008-09-01,100.2,99.8
2008-12-01,98.4,97.8
2009-03-01,98.4,96.5
2009-06-01,98.5,97.2
2009-09-01,99.1,97.2
2009-12-01,99.2,97.4
2010-03-01,100,98.5
2010-06-01,100.3,98.8
2010-09-01,100.6,99
2010-12-01,100.5,99.6
2011-03-01,100.8,99.5
2011-06-01,101.8,99.4
2011-09-01,101.4,100
2011-12-01,101.2,100.1
2012-03-01,100.9,100
2012-06-01,100.4,99.3
2012-09-01,100.6,100.3
2012-12-01,100,99.5
2013-03-01,100.2,100.2
2013-06-01,100.2,100
2013-09-01,99.6,99.9
2013-12-01,100,99.9
2014-03-01,100,100.2
2014-06-01,100.2,100.5
2014-09-01,100.9,101.2
2014-12-01,101.3,101.8
2015-03-01,101.1,101.3
2015-06-01,101.8,101.8
2015-09-01,102,101.7
2015-12-01,101.1,101.9
2016-03-01,101.5,102.2
2016-06-01,102,102.2
2016-09-01,102.4,102.7